gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001864,2020-01-31,2020-07-31,2019.0,REX,761624105,REX AMERICAN RESOURCES CORP,500.502,46.896,405.341,418.034,35.49200000000002,16.23400000000002,0.07091280354524061,0.04005022931309692,,401.007,401.007,4.334,0.0,0.0,0.0,418.034,418.034,382.542,19.258,,3.776,10.343,7.427,23.007
001891,2020-06-30,2020-12-31,2020.0,ADP,053015103,AUTOMATIC DATA PROCESSING,39165.5,33413.3,6484.099999999999,14589.8,6675.099999999999,3773.1999999999994,0.17043316183886328,0.5819157631745345,,5752.2,5752.2,731.9,0.0,0.0,0.0,14589.8,14589.8,7914.7,2901.9,674.1,172.7,3026.2,2466.5,480.0
001913,2020-12-31,2021-06-30,2020.0,AVY,053611109,AVERY DENNISON CORP,6083.9,4599.0,1535.8000000000002,6971.5,2126.3999999999996,1065.8999999999996,0.3495126481368858,0.6940356817293916,,1484.9,1484.9,50.9,0.0,0.0,0.0,6971.5,6971.5,4845.1,1060.5,112.8,201.4,751.3,555.9,203.1
001919,2020-06-30,2020-12-31,2020.0,AVT,053807103,AVNET INC,8105.197,4378.799,3726.398,17634.333,2245.694999999998,403.5729999999978,0.27706852776064517,0.10830109934580198,,3726.398,3726.398,,0.0,0.0,0.0,17634.333,17634.333,15388.638,1842.122,,73.516,730.182,-29.533,182.239
001926,2020-02-29,2020-08-31,2019.0,AZZ,002474104,AZZ INC,1073.831,439.465,672.292,1061.817,276.822,157.32600000000002,0.25778916794169665,0.2340143866058201,,634.366,634.366,37.926,0.0,0.0,0.0,1061.817,1061.817,784.995,119.496,,35.044,144.759,48.234,50.194
001932,2020-12-31,2021-06-30,2020.0,BTI,110448107,BRITISH AMER TOBACCO PLC,184890.132,100354.158,106063.743,34612.013,15029.96,15029.96,0.08129130439476347,0.14170686018501155,,84157.304,84157.304,21906.439,0.0,0.0,0.0,34612.013,34612.013,19582.053,,162.479,686.171,13140.641,8593.92,1126.609
001949,2020-12-31,2021-06-30,2020.0,BRT,055645303,BRT APARTMENTS CORP,365.741,188.053,177.772,22.078,-0.6829999999999998,-12.384,-0.0018674417142185314,-0.06966226402358078,,177.772,177.772,0.0,0.0,0.0,0.0,22.078,22.078,22.761,11.701,0.0,0.0,-1.755,-19.862,
001968,2020-12-31,2021-06-30,2020.0,BMI,056525108,BADGER METER INC,468.38,,366.95500000000004,425.544,191.402,88.30899999999998,0.40864682522737944,0.2406534861222765,,361.259,361.259,5.696,0.0,0.0,0.0,425.544,425.544,234.142,103.093,11.6,9.059,89.578,49.343,23.153
001979,2020-12-31,2021-06-30,2020.0,BCPC,057665200,BALCHEM CORP  -CL B,1165.843,337.61,879.592,703.644,250.027,165.397,0.21446026609071717,0.18803831776550944,,828.233,828.233,51.359,0.0,0.0,0.0,703.644,703.644,453.617,84.63,10.332,32.805,150.494,84.623,51.011
001982,2020-12-31,2021-06-30,2020.0,PTVCB,74368L203,PROTECTIVE INSURANCE CORP,1722.827,1359.745,363.082,470.191,16.573999999999955,16.573999999999955,0.009620234649213157,0.04564809051398845,,363.082,363.082,0.0,0.0,0.0,0.0,470.191,470.191,453.617,,,1.47,74.862,4.463,5.869
001988,2020-12-31,2021-06-30,2020.0,BALL,058498106,BALL CORP,18252.0,14915.0,3909.0,11781.0,2458.0,1933.0,0.1346701731317116,0.4944998720900486,,3275.0,3275.0,634.0,0.0,0.0,0.0,11781.0,11781.0,9323.0,525.0,47.0,1113.0,1432.0,585.0,668.0
002002,2020-12-31,2021-06-30,2020.0,BPOP,733174700,POPULAR INC,65926.0,59897.313,6006.544,2603.863,2076.3889999999997,1303.9069999999997,0.03149575281376088,0.21708107024605158,,6028.687,6006.544,,22.143,22.143,22.143,2603.863,2603.863,527.474,772.482,,60.073,678.772,506.622,64.849
002005,2020-12-31,2021-06-30,2020.0,BOH,062540109,BANK OF HAWAII CORP,20603.651,19229.144,1374.507,730.833,562.931,280.62100000000004,0.027321905229320764,0.20416120107063843,,1374.507,1374.507,,0.0,0.0,0.0,730.833,730.833,167.902,282.31,,33.287,146.416,153.804,20.205
002019,2020-12-31,2021-06-30,2020.0,BNY,064058100,BANK OF NEW YORK MELLON CORP,469633.0,423513.0,41260.0,16940.0,15472.0,8925.0,0.03294487397606216,0.21631119728550655,,45801.0,41260.0,,4541.0,4541.0,4541.0,16940.0,16940.0,1468.0,6547.0,,1222.0,5038.0,3617.0,1630.0
002049,2020-12-31,2021-06-30,2020.0,B.2,067806109,BARNES GROUP INC,2676.226,1293.549,1474.3449999999998,1124.391,490.8090000000001,231.6500000000001,0.18339594638120998,0.15712061966500387,,1382.677,1382.677,91.668,0.0,0.0,0.0,1124.391,1124.391,633.582,259.159,16.949,40.698,215.462,63.375,87.656
002055,2020-12-31,2021-06-30,2020.0,B,06849F108,BARRICK MINING CORP,46506.0,14796.0,26375.0,12595.0,7667.0,7096.0,0.16486044811422182,0.269042654028436,,23341.0,23341.0,3034.0,0.0,0.0,0.0,12595.0,12595.0,4928.0,571.0,,2054.0,5417.0,2324.0,2339.0
002080,2020-11-30,2021-05-31,2020.0,BSET,070203104,BASSETT FURNITURE INDS,402.549,244.519,158.03,385.863,223.848,0.27700000000001523,0.5560764031211107,0.0017528317408088037,,158.03,158.03,0.0,0.0,0.0,0.0,385.863,385.863,162.015,223.571,,6.029,36.675,-10.421,13.479
