permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
15539,55368,2020-08-31,2020-08-31,PVBC,74383L10,11,3,9999,-0.008917,-0.008917,-0.008917,19472.0,7.78,151.49216,5942.0,7.78
15539,55368,2020-09-30,2020-09-30,PVBC,74383L10,11,3,9999,0.001285,0.001285,0.001285,19472.0,7.79,151.68688,11041.0,7.79
15539,55368,2020-10-31,2020-10-30,PVBC,74383L10,11,3,9999,0.106547,0.106547,0.106547,19476.0,8.62,167.88312,7402.0,8.62
15539,55368,2020-11-30,2020-11-30,PVBC,74383L10,11,3,9999,0.175174,0.171694,0.175174,19425.0,10.1,196.1925,8465.0,10.1
15539,55368,2020-12-31,2020-12-31,PVBC,74383L10,11,3,9999,0.188119,0.188119,0.188119,19048.0,12.0,228.576,27566.0,12.0
15540,55369,2020-01-31,2020-01-31,RILY,05580M10,11,3,7389,0.065131,0.065131,0.065131,26972.0,26.82,723.38904,10477.0,26.82
15540,55369,2020-02-29,2020-02-28,RILY,05580M10,11,3,7389,-0.117823,-0.117823,-0.117823,26128.0,23.66,618.18848,10488.0,23.66
15540,55369,2020-03-31,2020-03-31,RILY,05580M10,11,3,7389,-0.206678,-0.221471,-0.206678,25989.0,18.42,478.71738000000005,31201.0,18.42
15540,55369,2020-04-30,2020-04-30,RILY,05580M10,11,3,7389,0.079805,0.079805,0.079805,25949.0,19.89,516.1256099999999,24038.0,19.89
15540,55369,2020-05-31,2020-05-29,RILY,05580M10,11,3,7389,-0.020613,-0.033183,-0.020613,25827.0,19.23,496.65321,26679.0,19.23
15540,55369,2020-06-30,2020-06-30,RILY,05580M10,11,3,7389,0.131565,0.131565,0.131565,25864.0,21.76,562.80064,30971.0,21.76
15540,55369,2020-07-31,2020-07-31,RILY,05580M10,11,3,7389,0.172335,0.172335,0.172335,25453.0,25.51,649.3060300000001,16274.0,25.51
15540,55369,2020-08-31,2020-08-31,RILY,05580M10,11,3,7389,0.063505,0.049784,0.063505,25453.0,26.78,681.6313400000001,24574.0,26.78
15540,55369,2020-09-30,2020-09-30,RILY,05580M10,11,3,7389,-0.064227,-0.064227,-0.064227,25432.0,25.06,637.3259199999999,24117.0,25.06
15540,55369,2020-10-31,2020-10-30,RILY,05580M10,11,3,7389,0.047087,0.047087,0.047087,25432.0,26.24,667.3356799999999,17440.0,26.24
15540,55369,2020-11-30,2020-11-30,RILY,05580M10,11,3,7389,0.391578,0.377287,0.391578,24986.0,36.14,902.99404,32745.0,36.14
15540,55369,2020-12-31,2020-12-31,RILY,05580M10,11,3,7389,0.223575,0.223575,0.223575,25778.0,44.22,1139.9031599999998,26930.0,44.22
15541,55370,2020-01-31,2020-01-31,RPD,75342210,11,3,9999,0.059979,0.059979,0.059979,49911.0,59.38,2963.71518,86305.0,59.38
15541,55370,2020-02-29,2020-02-28,RPD,75342210,11,3,9999,-0.220276,-0.220276,-0.220276,50210.0,46.3,2324.723,147730.0,46.3
15541,55370,2020-03-31,2020-03-31,RPD,75342210,11,3,9999,-0.064147,-0.064147,-0.064147,50419.0,43.33,2184.65527,171806.0,43.33
15541,55370,2020-04-30,2020-04-30,RPD,75342210,11,3,9999,0.051235,0.051235,0.051235,50501.0,45.55,2300.32055,205904.0,45.55
15541,55370,2020-05-31,2020-05-29,RPD,75342210,11,3,9999,0.073326,0.073326,0.073326,50501.0,48.89,2468.99389,148715.0,48.89
15541,55370,2020-06-30,2020-06-30,RPD,75342210,11,3,9999,0.043567,0.043567,0.043567,50951.0,51.02,2599.52002,160933.0,51.02
15541,55370,2020-07-31,2020-07-31,RPD,75342210,11,3,9999,0.167581,0.167581,0.167581,51006.0,59.57,3038.42742,118722.0,59.57
15541,55370,2020-08-31,2020-08-31,RPD,75342210,11,3,9999,0.083935,0.083935,0.083935,51006.0,64.57,3293.4574199999993,123888.0,64.57
15541,55370,2020-09-30,2020-09-30,RPD,75342210,11,3,9999,-0.051572,-0.051572,-0.051572,51777.0,61.24,3170.82348,102761.0,61.24
