gvkey,datadate,fyear,tic,cusip,conm,at,lt,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
016714,2020-12-31,2020,DGICA,257701201,DONEGAL GROUP INC,2160.52,1642.746,517.774,517.774,0.0,0.0,0.0,0.0,777.819,777.819,713.093,,,0.09,101.134,52.815,0.257
016719,2020-12-31,2020,HRGN,09074M202,HARVARD APPARATUS REGE T INC,2.076,0.951,1.125,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.141,2.069,0.007,-4.041,-4.865,0.184
016720,2020-12-31,2020,AAMCF,02153X306,ACCELITRON ADN MTR CNTRL INC,99.752,16.33,83.422,-166.578,1.027,250.0,250.0,250.0,0.0,0.0,20.156,,,0.086,18.606,-14.72,0.354
016721,2020-03-31,2019,EA,285512109,ELECTRONIC ARTS INC,11112.0,3651.0,7461.0,7461.0,1.0,0.0,0.0,0.0,5537.0,5537.0,1237.0,2696.0,1559.0,140.0,1797.0,3039.0,154.0
016725,2020-12-31,2020,KPTSF,48265Y104,KP TISSUE INC,71.313,4.985,66.328,66.328,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.953,0.0
016732,2020-12-31,2020,WHTCF,94947L102,WELL HEALTH TECHNOLOGIES,262.728,43.752,217.368,217.368,0.0,0.0,0.0,0.0,50.24,50.24,34.0,19.158,,1.135,-5.382,-3.686,4.27
016738,2020-12-31,2020,HMHC,44157R109,HOUGHTON MIFFLIN HARCOURT CO,2021.126,1930.663,90.463,90.463,16.411,0.0,0.0,0.0,1031.292,1031.292,559.328,478.101,,50.94,115.248,-479.838,110.309
016745,2020-12-31,2020,PRTA,G72800108,PROTHENA CORPORATION PLC,332.975,148.969,184.006,184.006,0.0,0.0,0.0,0.0,0.853,0.853,112.073,,74.884,0.196,-80.362,-111.144,1.514
016748,2020-12-31,2020,CNBKA,156432106,CENTURY BANCORP INC/MA,6358.834,5988.425,370.409,370.409,,0.0,0.0,0.0,168.136,168.136,48.032,56.697,,8.376,44.375,42.209,3.266
016775,2020-12-31,2020,CIA,174740100,CITIZENS INC,1843.42,1542.475,300.945,300.945,9.564,0.0,0.0,0.0,238.856,238.856,237.923,,,0.221,48.834,-10.988,3.239
016777,2020-12-31,2020,FBNC,318910106,FIRST BANCORP/NC,7289.751,6396.33,893.421,893.421,,0.0,0.0,0.0,319.03,319.03,54.601,116.531,,12.363,57.075,81.477,11.589
016781,2020-12-31,2020,CHCO,177835105,CITY HOLDING CO,5758.64,5057.534,701.106,701.106,,0.0,0.0,0.0,243.102,243.102,34.337,71.839,,5.544,89.795,89.595,5.79
016790,2020-12-31,2020,CBU,203607106,COMMUNITY FINANCIAL SYST INC,13931.094,11826.987,2104.107,2104.107,,0.0,0.0,0.0,617.276,617.276,35.087,269.116,,14.395,179.483,164.676,30.639
016798,2020-12-31,2020,GHY,69346J106,PGIM GLOBAL HI YIELD FND INC,,,,,,,,,,,,,,,,,
016814,2020-12-31,2020,QDF,33939L860,NORTHERN TRUST QLT DVDND ETF,,,,,,,,,,,,,,,,,
016816,2020-12-31,2020,QDEF,33939L845,NORTHERN TRUST QTY DVDND DFS,,,,,,,,,,,,,,,,,
016817,2020-12-31,2020,QDYN,33939L852,FLEXSHARES QUAL DIV DYNAMIC,,,,,,,,,,,,,,,,,
016821,2020-12-31,2020,FBP,318672706,FIRST BANCORP P R,18793.071,16517.892,2275.179,2239.075,,36.104,36.104,36.104,804.114,804.114,263.645,250.545,,16.07,297.738,102.273,25.98
016829,2020-12-31,2020,PCLB,722903101,PINNACLE BANCSHARES,275.742,241.41,34.332,34.332,,0.0,0.0,0.0,11.949,11.949,1.063,4.964,,0.537,2.967,3.181,0.402
016832,2020-12-31,2020,GBCI,37637Q105,GLACIER BANCORP INC,18504.206,16197.165,2307.041,2307.041,,0.0,0.0,0.0,797.531,797.531,67.08,290.72,,11.717,189.545,266.4,30.79
016845,2020-12-31,2020,FRME,320817109,FIRST MERCHANTS CORP,14067.21,12191.565,1875.645,1875.52,,0.125,0.125,0.125,558.434,558.434,125.054,202.037,,0.0,204.811,148.6,11.009
016848,2020-12-31,2020,TVTX,89422G107,TRAVERE THERAPEUTICS INC,607.439,396.226,211.213,211.213,0.0,0.0,0.0,0.0,198.321,198.321,6.126,242.993,228.904,6.767,-42.743,-169.431,24.579
016878,2020-12-31,2020,ELLH,28413L105,ELAH HOLDINGS INC,16.404,0.554,15.85,15.85,0.0,0.0,0.0,0.0,0.179,0.179,0.0,2.172,,0.0,2.697,-1.809,0.0
016884,2020-12-31,2020,LFT,55025L108,LUMENT FINANCE TRUST INC,621.49,507.787,113.604,113.604,0.0,0.0,0.0,0.0,33.617,33.617,9.386,,,0.0,12.219,8.45,
